Air Temperature,CO2 Flux
296.104,-1.80499
297.158,-4.56962
297.68,-9.29899
298.743,-8.90538
300.021,-11.0354
299.855,-10.807
300.375,-13.1432
301.528,-9.77724
302.29,-8.34321
301.436,-10.0297
301.857,-9.73161
302.255,-7.21832
302.442,-6.97362
302.504,-8.304
302.774,-7.30725
302.728,-7.074
302.686,-5.99282
301.72,-5.97072
301.274,-6.34458
300.939,-3.75955
300.563,-4.29251
299.992,-2.99256
299.517,-1.10746
299.446,1.8168
299.239,3.69834
299.073,3.19007
298.898,3.131
298.686,3.61853
298.475,3.02927
298.236,2.6156
297.917,2.80057
297.718,2.29139
297.499,4.20216
296.92,2.38917
295.572,3.97992
295.721,0.46271
295.628,2.23204
295.551,5.94092
295.698,3.89007
295.572,4.68334
295.414,4.24894
294.868,3.23334
294.806,4.53064
294.683,1.94733
296.689,-0.533158
297.748,-6.3887
298.348,-3.70486
298.371,-4.58662
298.182,-9.25876
299.306,-9.33642
300.146,-9.7411
301.296,-7.04741
301.987,-7.68918
302.431,-4.04015
303.045,-4.0244
303.828,-3.66054
304.581,-3.46784
303.963,-4.62793
303.161,-8.46053
303.104,-6.71662
303.103,-4.78088
302.936,-4.6487
302.694,-5.01599
302.814,-4.36536
302.541,-3.63939
302.054,-3.58416
302.118,-1.46646
302.053,-2.64023
301.488,0.460755
301.884,2.75489
301.336,3.03416
300.971,1.76585
299.786,12.5927
298.288,1.04235
298.045,12.6578
299.471,4.8643
298.365,7.00819
297.147,14.6995
297.668,-9.19645
297.018,6.12483
297.229,5.56166
298.335,3.62031
297.862,2.16017
296.545,1.97935
296.683,3.78911
296.362,-4.97535
295.559,1.79106
296.33,-4.50039
296.7,4.05766
298.6,1.14097
299.963,-0.648251
302.365,-2.52591
304.256,-1.46323
304.202,-2.84575
306.39,-2.81183
309.789,-0.498322
309.785,-1.34045
309.898,-1.68001
309.839,-1.45515
311.675,-0.651244
311.868,0.160119
312.078,0.129622
312.227,2.92E-02
311.758,-0.313302
312.1,-0.588098
312.526,-0.683273
311.84,0.481282
312.626,-0.189978
313.875,0.350032
313.636,-6.68E-02
312.388,0.677256
311.661,1.58787
311.073,1.35171
310.102,1.83324
310.294,1.02332
310.516,1.45902
308.246,0.856756
306.888,1.40074
304.66,4.31272
301.384,1.49161
300.886,2.46436
300.895,1.44984
300.593,2.5441
300.627,3.1191
300.532,2.65008
299.708,2.33959
300.064,1.62127
300.224,3.6183
299.783,4.35085
299.481,3.99933
299.27,4.25555
298.973,4.0762
298.794,3.81419
298.543,5.39698
298.255,5.4785
297.779,4.41725
297.624,3.48233
297.397,1.81084
297.579,-1.91523
297.961,-5.62157
298.055,-8.95155
298.036,-7.66989
297.878,-9.22418
298.075,-10.8087
298.878,-12.045
299.103,-11.1196
299.06,-11.1672
298.896,-11.2684
298.8,-10.9014
298.959,-9.1652
298.806,-7.6208
298.718,-6.71174
298.795,-8.29494
298.711,-9.3463
298.244,-9.69127
298.014,-7.44549
297.799,-7.19591
297.56,-8.10516
297.186,-7.30854
296.928,-7.05452
296.455,-4.86353
296.056,-1.96369
295.533,-1.12715
295.005,-0.216836
294.456,1.48036
294.391,2.32183
294.286,2.2041
294.437,2.53191
294.572,2.70305
294.839,3.57037
294.929,3.07467
295.012,2.8341
295.278,2.34158
295.104,2.26914
294.878,2.00575
295.206,1.80403
295.193,1.8295
295.257,1.89119
295.156,1.85664
295.204,1.97747
295.384,2.28915
295.401,3.03348
295.476,3.71921
295.507,3.00942
295.502,3.07503
295.615,1.39062
295.798,0.581434
296.11,-1.78294
296.641,-5.35783
297.447,-5.21637
297.647,-7.2075
298.277,-8.4634
299.081,-11.2647
299.632,-8.16186
300.153,-7.98749
301.078,-7.43609
302.192,-5.11657
301.579,-5.35651
302.382,-4.97457
303.226,-4.08929
302.418,-9.42231
302.246,-11.1698
301.929,-6.22173
301.905,-6.67651
301.929,-5.16377
301.247,-1.49763
301.236,0.543947
301.558,2.41737
301.677,0.770551
301.333,2.72778
301.098,1.8757
300.939,2.38496
300.65,1.94386
300.447,2.2462
300.798,2.83097
300.465,4.01037
300.276,4.63421
299.647,3.17649
299.52,2.60073
299.234,1.70028
298.841,0.457196
298.368,1.58989
298.362,0.783037
297.795,-0.769154
297.405,-0.179562
297.008,0.12405
296.707,-1.49911
296.541,-2.05333
296.256,0.577672
296.108,0.484599
295.909,1.9826
295.488,2.86905
295.334,1.6899
295.889,-2.18557
296.245,-4.04412
296.528,-3.32247
295.666,-1.9758
296.316,-4.93846
296.856,-11.0018
297.124,-12.666
295.98,-12.1873
296.957,-13.0905
297.065,-13.2835
297.479,-13.406
298.106,-13.3786
298.099,-13.2901
298.203,-11.5892
297.83,-9.29991
297.68,-11.2192
297.854,-9.70176
297.858,-7.53777
297.385,-5.64946
296.891,-4.55849
296.658,-1.36864
296.441,-0.215925
296.032,0.987936
295.679,2.15933
295.503,1.81853
295.435,1.39263
295.405,1.97025
295.712,1.26049
295.778,0.907646
295.707,-0.857098
295.507,1.35415
295.266,0.533224
295.14,1.70977
294.927,0.788222
294.565,0.588583
294.242,-0.460403
294.052,0.71686
293.851,0.846671
293.475,0.63944
293.681,2.1819
293.528,2.32732
293.354,1.73706
293.455,0.273225
293.909,-2.30038
294.554,-6.85705
294.356,-5.61309
294.91,-7.44379
294.755,-8.31348
294.328,-7.06441
294.223,-6.83232
294.635,7.78476
294.948,-10.245
295.558,-10.7545
296.587,-3.4331
298.508,-4.77745
296.219,-7.85622
294.63,-8.8214
294.656,-12.7936
294.609,-13.3844
294.93,-10.3147
294.14,-8.01415
294.271,-7.91466
294.306,-6.8348
294.422,-4.29798
293.012,0.711876
296.422,1.06583
292.367,1.83407
291.031,1.7546
291.649,2.22627
294.898,18.2323
294.068,2.16992
292.922,2.93346
293.345,2.53832
293.427,2.38558
293.447,2.61637
293.678,2.19411
293.742,1.43038
293.785,1.93693
294.174,1.62779
294.349,1.40735
294.209,1.77818
294.488,1.79259
296.58,18.6078
298.393,-7.6191
294.798,-6.71865
296.6,18.5935
294.023,-0.270329
294.094,-0.217666
294.506,-2.84311
294.357,-1.68103
294.645,-5.47856
294.127,-4.85539
293.96,-12.026
294.898,-7.92329
295.764,-7.7029
295.895,-10.5537
296.552,-10.0752
296.313,-5.0558
296.275,-5.6805
295.172,-3.77231
295.329,-2.56427
295.371,-3.47495
295.174,0.147234
295.117,-0.552545
294.676,-3.12611
294.775,1.51992
294.807,2.06435
294.461,-10.4207
294.188,-1.39249
294.155,2.57957
294.065,2.35715
294.148,1.05869
294.165,-6.00008
293.724,2.51736
293.611,1.4503
293.434,1.4263
293.704,1.77983
293.988,1.42479
293.753,1.09073
293.687,1.28928
294.008,1.47327
293.827,1.26229
293.496,1.82409
293.615,0.404983
293.542,2.24074
293.797,0.573922
293.593,0.103224
294.113,-3.03047
294.26,-3.96665
294.244,-4.89541
295.064,-8.2375
295.441,-9.62407
295.747,-11.3228
295.506,-12.332
295.661,-11.7108
295.986,-13.7649
296.088,-13.8587
296.199,-12.7509
296.417,-13.1305
296.608,-13.4699
296.229,-12.6465
295.963,-13.3427
295.8,-12.0007
295.702,-9.66433
295.447,-9.81046
295.196,-8.38635
295.048,-6.62121
295.154,-3.95418
294.863,-3.31137
294.604,0.404416
294.667,-0.697982
294.638,1.97E-02
294.505,0.764861
294.496,-0.450736
294.605,-1.12757
294.611,0.483925
294.604,0.593741
294.391,1.75417
294.431,0.710275
294.46,1.31702
294.581,1.1196
294.535,-0.408767
294.407,1.23502
294.356,0.803639
294.489,0.524807
294.282,1.92045
296.3,15.4165
295.832,2.1313
295.447,6.22737
300.987,-4.79543
300.653,-3.86191
296.092,-7.75668
295.697,-8.42313
296.808,-12.0006
297.215,-12.1842
297.08,-12.9227
296.867,-12.879
296.055,-13.2286
296.14,-13.895
296.357,-13.2935
296.568,-12.1781
296.215,-10.036
296.043,-7.50955
295.709,-4.23989
296.551,-4.44291
298.718,-2.14709
297.85,1.41965
297.941,4.5578
295.516,3.85533
294.817,2.62547
294.909,2.78589
294.904,3.73226
294.538,2.65391
294.315,3.35294
294.416,2.51017
298.586,-11.8961
299.22,-13.1022
301.12,-6.68685
302.131,-4.23539
302.966,-4.47971
303.478,-4.24953
304.465,-2.37922
304.665,-3.52433
304.545,-5.03916
304.781,-5.73902
304.871,-4.05043
303.956,-4.91395
303.001,-3.50163
302.626,-3.9548
301.723,-5.48397
301.612,-2.84265
301.573,-3.2437
301.566,-5.33E-02
301.497,1.46689
300.59,1.03037
299.675,1.76761
299.983,2.76799
297.494,-1.21674
297.103,3.70177
296.106,5.71836
294.213,4.10836
293.623,4.1341
293.001,-0.665824
292.587,3.96422
292.512,5.77232
292.433,6.31198
292.817,2.05967
292.959,1.60626
293.857,1.61304
294.564,1.3804
294.112,0.984227
295.665,0.737058
297.416,1.38318
296.102,0.30906
297.211,4.2692
298.659,1.25797
298.89,-1.12197
298.695,-4.59367
299.066,-9.78067
299.137,-11.5
300.37,-12.6665
300.159,-12.0039
299.686,-13.6217
299.355,-11.6358
299.022,-10.122
298.667,-7.27294
298.428,-4.62902
297.987,0.541666
297.724,0.784751
297.55,3.45334
297.394,2.27806
297.409,1.73343
297.348,2.12235
296.925,4.66156
296.713,4.46145
296.66,5.25869
296.522,2.37289
296.131,1.42237
293.792,4.75767
292.51,1.35614
292.303,1.72893
292.012,1.5629
292.673,-3.19769
295.807,2.34809
296.809,1.92247
296.716,2.33649
296.697,3.42979
295.973,0.257026
295.33,2.97457
295.689,2.95677
296.142,2.121
296.627,1.58345
296.829,-1.38359
296.999,-6.22379
297.182,-7.01513
298.456,-13.6938
298.776,-13.5872
299.208,-13.2056
299.311,-10.245
299.417,-6.75193
299.812,-6.78978
300.379,-7.21572
301.244,-5.98491
301.887,-7.0317
301.162,-6.72225
300.927,-5.29697
300.77,-4.87195
300.577,-5.08256
300.343,-7.07615
299.711,-5.64242
298.973,-3.09594
298.959,-2.14991
298.991,-0.349731
298.753,2.34874
298.84,2.35124
298.739,3.07593
298.613,2.26249
298.226,2.31282
297.887,2.48836
297.988,1.86078
297.57,1.36901
296.861,0.700025
293.682,1.26785
292.655,1.37833
292.471,3.4191
292.119,-3.21876
291.065,0.87289
291.213,-0.559421
291.457,-3.7076
290.21,2.31995
290.351,4.49064
289.274,2.34785
291.07,-5.15E-02
291.112,4.00659
291.732,-3.45676
292.943,2.20191
295.115,-1.91099
301.368,-1.55852
299.735,-2.4445
301.029,-1.51621
300.687,-5.18039
301.069,-6.92761
301.453,-3.97007
303.046,-4.79264
303.787,-3.66388
305.361,-2.79439
305.803,-2.68502
307.794,-2.31311
307.192,-0.896042
308.319,-0.853363
309.8,-1.56653
309.796,-0.665782
311.116,-8.63E-02
311.712,0.221265
312.666,0.304307
314.663,2.04783
314.304,1.80408
313.511,1.99764
312.075,1.06275
309.537,0.336372
307.176,2.1533
305.114,0.744627
305.12,1.52824
305.653,2.18746
306.308,2.24981
306.146,1.84259
306.396,1.8302
305.592,1.64026
304.21,1.37302
303.148,2.40961
302.617,1.68665
302.265,1.7198
302.252,1.52611
302.895,1.40945
302.717,1.16331
303.563,1.29437
304.101,1.59028
302.549,3.23281
301.839,2.88404
302.965,2.53062
303.392,2.26226
304.429,1.94826
306.24,1.28621
307.953,1.19883
309.644,1.21625
310.745,-0.159473
311.011,-0.225589
310.15,-0.146095
310.27,-1.95985
311.151,-1.10624
311.147,-1.88369
308.026,-4.88441
308.064,-4.91018
307.741,-1.75031
302.642,-7.31806
302.534,-7.016
303.957,-4.78803
304.365,-4.2929
303.222,-1.60575
301.836,-6.35504
301.372,-1.85414
301.495,-4.10454
302.334,-2.08353
301.879,-3.56852
300.954,-2.35978
300.907,1.3196
300.821,1.57458
300.548,2.48767
300.35,2.61551
300.058,2.95581
299.847,4.65597
299.649,2.47937
299.3,2.90077
299.002,2.55888
298.846,1.92664
298.761,1.69599
298.951,1.59131
299.613,1.46341
300.13,2.17723
299.751,0.904139
299.091,3.16191
298.831,2.12436
299.184,3.28907
299.652,3.76783
304.55,4.87747
300.501,0.81124
295.551,-3.13514
296.644,-4.69464
297.087,-4.70149
296.832,-4.83609
295.587,-3.99476
296.884,-4.51316
297.31,-4.96932
298.048,-7.43933
298.114,-8.80169
298.066,-7.42615
297.595,-3.99042
297.376,-3.71686
296.277,-2.03509
295.892,-1.73045
295.514,0.741405
295.167,1.33307
294.801,2.02704
294.508,3.19762
294.176,3.42145
293.653,2.98075
293.477,3.35736
293.22,3.3012
293.06,3.54124
292.472,3.01072
292.366,3.43933
292.398,2.91814
292.382,2.78532
292.447,2.81002
292.664,2.92237
292.836,2.9306
292.91,2.70904
292.996,2.46171
293.051,2.82461
292.866,2.55956
292.914,3.64268
293.123,4.11265
293.334,3.39032
293.281,2.71539
293.497,1.61814
293.85,5.35E-02
294.092,-1.36054
294.95,-5.40408
295.045,-5.05083
295.32,-5.02636
296.028,-6.86666
296.441,-7.62873
297.04,-8.08994
297.533,-8.10473
298.022,-6.7958
298.302,-6.37653
298.571,-7.79506
299.221,-8.63344
299.829,-7.47355
300.157,-7.35332
300.561,-7.43747
301.593,-5.1312
303.464,-3.252
303.689,-2.42552
303.376,-3.44097
303.08,-3.9651
302.273,-3.58015
301.549,-2.24587
300.701,-1.06535
300.036,-1.15842
299.323,0.779713
298.344,2.33026
297.841,2.471
297.246,2.49172
297.01,2.3143
296.931,1.88499
296.803,1.66132
296.676,1.75726
296.703,2.00059
296.682,2.13645
296.793,1.84249
296.864,2.35392
296.807,2.63167
296.55,2.0113
296.448,2.73429
296.472,2.4122
296.453,2.02775
296.421,2.38537
296.51,3.7213
296.653,3.62339
296.791,4.09154
296.947,3.19318
297.209,0.525771
297.578,-1.11743
298.207,-5.42963
298.684,-7.22157
299.242,-7.0075
299.717,-9.43165
300.768,-9.67134
301.749,-10.686
302.091,-8.91812
301.989,-9.56599
302.147,-6.48789
302.257,-6.87066
302.452,-6.61062
301.999,-4.78984
301.682,-4.78838
301.261,-1.86571
301.133,-1.36328
301.203,-3.88101
301.2,-2.66356
301.533,-4.5501
301.213,-2.81099
300.671,-0.597713
300.563,-1.30078
300.422,-0.184565
300.09,1.172
299.72,0.596099
299.358,1.89227
298.91,1.75403
298.685,2.10273
298.378,2.32132
298.219,2.32268
297.955,2.76305
297.681,2.15655
297.423,2.49444
297.199,2.30163
296.857,1.72064
296.818,2.31482
296.993,1.52016
297.117,1.92596
297.028,1.91796
296.983,1.94398
297.003,1.72068
297.042,4.70363
297.153,3.17839
297.229,1.02978
297.334,3.8257
297.432,3.54928
297.417,6.04251
299.429,-10.9896
303.557,5.96098
298.088,-5.1967
297.514,0.152241
297.546,-0.107241
297.638,4.51845
297.688,-0.388796
298.095,-0.319307
298.299,-0.416061
298.229,0.842287
298.185,1.71362
298.043,2.55593
297.931,2.17414
297.6,2.02875
297.287,-4.72794
296.935,3.04728
296.589,3.23385
296.541,1.61023
296.033,0.380543
296.099,-10.3317
298.734,2.79593
299.332,-2.708
297.21,-6.01778
296.043,1.32826
296.049,4.34262
296.045,3.88916
295.972,4.30144
295.975,3.59731
295.978,4.30378
296.093,4.1084
296.173,5.03562
295.833,4.46222
295.433,4.1795
295.588,4.41237
295.715,4.13933
296.1,1.86942
295.851,3.7782
296.338,5.24411
297.013,18.9919
296.692,1.58459
296.476,-1.85628
296.251,-2.23455
295.784,-2.54227
296.017,-6.38968
296.643,-9.08984
296.626,-10.4673
296.601,-10.7197
296.311,-9.85042
296.369,-9.99182
296.772,-11.2057
296.908,-11.8511
296.656,-11.8677
296.823,-13.7948
296.887,-11.4475
296.776,-9.456
296.542,-9.12095
296.495,-7.36596
296.638,-5.26527
296.524,-3.96829
296.059,1.40237
295.662,2.25658
295.321,2.03137
295.474,2.89751
295.226,1.76994
295.075,2.33063
295.135,2.39062
295.254,3.40372
295.212,3.02395
295.344,2.92644
295.159,2.52991
295.361,3.16597
295.117,3.03105
295.002,2.70434
295.133,2.37381
295.154,3.68984
295.124,2.73467
294.931,1.88057
294.667,1.81994
294.623,1.94226
294.557,3.74367
294.504,3.21119
294.595,3.79029
294.668,2.97216
294.979,1.90552
295.253,1.05044
295.246,0.158445
295.417,-1.16913
295.649,-2.78949
296.085,-4.67423
296.729,-6.31296
296.87,-7.10174
296.995,-5.44484
297.427,-5.63765
297.825,-5.92717
297.792,-4.8183
298.016,-4.46578
297.941,-3.33617
298.365,-4.68539
298.409,-5.04499
298.367,-5.33611
298.088,-4.86748
298.047,-5.03247
298.015,-4.58871
298.047,-4.73882
297.612,-4.13177
297.384,-3.19777
297.116,-2.64298
296.728,-1.15114
296.142,-0.768626
295.728,0.324442
295.556,1.49984
295.498,2.13554
295.344,2.01539
295.231,2.33863
294.991,2.32625
294.639,2.30563
294.239,2.61863
293.875,2.04093
293.419,2.37522
293.04,2.30198
293.274,2.18471
292.137,3.20607
290.965,1.47655
291.53,-2.28421
290.835,-2.083
288.779,2.12509
289.462,-0.444223
289.989,17.3875
288.182,1.51785
289.851,-7.53412
291.237,5.19E-02
291.429,0.270357
293.598,-1.25879
294.508,-2.47591
295.286,-3.4507
295.979,-5.69578
296.75,-7.45416
297.348,-8.56976
297.509,-9.80888
297.292,-7.98232
297.169,-10.9269
297.284,-10.0142
297.068,-10.2232
297.031,-8.50272
297.365,-12.7028
297.286,-7.43985
297.279,-8.03788
297.311,-9.06475
296.858,-7.40312
296.754,-8.02666
296.603,-8.15174
296.874,-10.6956
296.76,-7.05269
296.717,-7.76455
296.232,-4.39922
295.834,-1.16552
295.651,0.138179
295.466,1.67003
295.378,2.00378
295.29,1.95096
294.717,2.47064
294.679,2.36135
294.8,2.4078
294.645,2.50552
294.534,2.43149
294.403,2.43135
294.445,2.41781
294.815,2.21397
295.069,2.13056
295.124,2.02976
295.126,0.119496
295.289,2.05272
295.023,2.42884
294.748,2.49716
294.712,4.07039
294.745,3.42425
294.573,3.51818
294.134,3.40299
294.571,1.48717
294.486,-0.824337
294.38,-2.03715
294.537,-2.96615
294.876,-5.86012
295.256,-7.73869
295.363,-8.14779
295.205,-9.26326
295.535,-9.9528
295.891,-10.0398
295.558,-9.8159
295.309,-9.53298
295.88,-9.98919
295.786,-11.092
296.023,-9.73492
296.087,-10.2173
296.18,-9.30513
296.288,-9.66102
296.145,-7.89951
296.181,-8.22485
295.972,-7.33998
295.729,-6.01639
295.616,-4.46421
295.045,-0.820454
294.903,-0.101644
294.622,0.854809
294.481,1.91479
294.396,2.05831
294.351,2.38973
294.339,0.862507
294.45,1.73002
294.51,1.94951
294.499,2.03049
294.423,2.01803
294.327,2.06401
294.31,1.37622
294.392,1.89642
294.326,1.71173
294.263,1.89719
294.291,1.94867
293.679,1.81565
293.073,0.84841
292.725,0.861804
292.627,1.5309
292.626,3.78054
292.229,2.72497
290.241,2.55963
289.524,2.11863
289.503,3.39695
292.128,0.338599
294.361,-2.48235
295.377,-4.55576
296.045,-6.33088
296.725,-6.32066
297.188,-5.88124
297.701,-5.59809
297.775,-4.37753
298.419,-4.87729
299.774,-6.56831
299.977,-4.80491
299.614,-5.71975
299.134,-9.3332
300.126,-5.13512
300.257,-3.9437
300.157,-5.17433
301.085,-4.42758
301.099,-3.7239
300.665,-2.89161
300.854,-4.40282
300.569,-3.08595
300.444,-3.30264
299.86,-2.08889
298.893,-1.1204
297.894,-0.741682
297.146,1.3395
296.536,1.97204
295.847,1.92718
295.047,2.15684
294.563,2.30394
294.384,2.3781
294.222,2.0543
293.943,1.98252
293.59,1.93649
293.025,1.65428
292.728,2.20054
292.37,1.18425
291.821,2.23837
291.868,1.19345
289.669,-0.92496
288.501,1.82116
287.665,-7.40906
287.069,-4.58155
286.519,2.48521
286.499,2.25737
287.116,-1.97288
291.329,0.985638
292.66,-1.84058
294.028,-3.86486
295.326,-4.81517
296.904,-6.83847
298.487,-6.62889
298.93,-6.21711
298.563,-10.4042
299.156,-12.8213
299.287,-11.3815
300.679,-10.061
302.495,-6.17026
303.985,-2.47706
304.906,-2.68891
306.008,-2.05588
306.808,-3.25135
306.525,-2.64011
306.948,-1.64599
304.464,-2.41644
303.356,-2.76657
302.591,4.808
301.079,3.54867
301.987,2.13153
301.722,1.45162
301.369,1.17109
300.893,2.20445
301.378,2.28066
302.596,4.19354
302.573,4.94121
302.884,4.16092
303.006,3.91554
302.934,3.04599
302.939,3.70257
302.892,3.33054
302.649,2.68749
302.522,2.58566
302.91,2.18411
302.217,2.28588
301.614,-5.38891
301.211,-6.48855
300.406,1.50706
299.865,12.2908
300.445,-2.89271
301.185,14.7086
299.071,6.12931
298.871,4.57453
299.512,9.44217
300.142,2.71673
300.196,2.67366
301.661,1.87114
300.989,5.53092
301.293,2.5227
301.461,-0.475962
302.284,1.81811
303.316,-0.476516
304.849,-0.648104
305.937,-0.91537
305.916,0.446859
307.184,-0.435756
307.329,1.31615
306.689,2.5473
304.223,0.544392
304.207,0.450951
305.321,0.456885
300.815,-1.28101
301.599,0.256749
298.805,-1.96312
302.853,-2.14232
300.912,1.87049
297.433,2.793
296.098,3.45003
296.014,3.30355
295.882,2.75351
295.709,2.79593
295.626,2.96212
295.232,3.50963
294.186,2.17271
293.832,0.584566
294.741,3.33215
297.351,3.17999
296.461,3.08803
296.862,4.40504
295.83,1.697
294.93,1.54815
295.072,4.02515
295.306,3.54328
294.427,2.52175
295.299,2.71831
295.729,4.0669
296.238,2.9658
296.494,0.611992
296.694,2.34276
296.614,1.76115
296.708,0.835649
297.338,-3.21094
297.845,-4.15149
297.303,-1.9829
297.705,-5.58431
298.022,-5.61302
299.439,-6.93586
298.425,-7.12259
299.055,-6.96286
299.411,-7.01166
300.333,-6.83667
300.366,-4.64548
300.443,-7.32513
300.611,-5.36216
298.572,-9.49871
297.964,-7.01053
297.858,-5.09713
297.685,-3.72269
297.498,-2.85078
297.25,-1.05761
297.013,1.47039
296.942,2.77878
296.864,2.71775
296.975,3.12328
297.04,3.01667
297.316,2.63515
297.399,2.84429
297.443,2.85691
297.606,3.78873
297.057,4.02774
296.376,3.70688
296.231,3.08861
296.202,3.13292
295.913,2.31921
295.9,3.55028
295.734,3.04755
295.528,2.31387
295.968,-1.80707
296.253,19.1758
299.109,15.6237
296.189,1.81231
295.13,6.58334
297.275,2.2167
300.742,2.49983
299.748,1.21642
300.159,1.05332
297.811,0.200834
297.197,-3.93804
299.363,-3.04463
297.44,-1.91276
295.652,-2.47831
297.337,-5.42317
294.988,-5.27872
295.357,-8.57754
295.475,-8.36037
295.729,-9.4208
295.434,-6.76578
295.611,-11.6558
295.162,-9.0601
295.921,-10.8746
296.302,-13.6616
295.361,-4.33349
294.819,-5.67625
295.278,-5.93044
295.357,-4.61995
295.048,-3.1022
294.643,0.419953
294.657,-0.113596
294.389,1.7813
293.983,2.48186
293.745,2.4098
293.395,2.67721
293.156,2.5074
293.195,2.50053
293.064,2.57693
