DOY,co2_flux,air_temperature,ET,ch4_flux,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
5.583,-4.76088,296.375,0.248186,0.0306,,,,,
5.604,-6.71049,296.58,0.329376,-0.014,,,,,
5.624,-7.50378,297.207,0.406698,-0.0167,,,,,
5.645,-8.32704,297.204,0.41176,-0.0363,,,,,
5.666,-6.08081,296.965,0.304388,-0.0466,,,,,
5.687,-3.90149,296.6,0.233946,-0.161815,,,,,
5.708,-5.11309,296.622,0.221601,0.0408,,,,,
5.729,-4.16223,296.508,0.233734,-0.144936,,,,,
5.749,-5.37334,296.487,0.221965,-0.12833,,,,,
5.77,-3.27891,296.284,0.174023,0.107107,,,,,
5.791,-3.0483,296.349,0.181224,-0.104537,,,,,
5.812,-0.617836,296.02,0.128662,-0.00987,,,,,
5.833,0.819294,295.74,0.0966,-0.00611,,,,,
5.854,2.36356,295.474,0.0661,-0.025,,,,,
5.874,3.59177,295.231,0.0493,0.0203,,,,,
5.895,3.49505,294.941,0.0438,0.0306,,,,,
5.916,3.45055,294.808,0.0421,0.0409,,,,,
5.937,3.25785,294.655,0.0455,0.00159,,,,,
5.958,3.41747,294.508,0.0512,0.0276,,,,,
5.979,4.29107,294.436,0.0522,-0.0114,,,,,
6.0,3.31113,294.336,0.0442,0.0203,,,,,
6.02,4.15125,294.355,0.0471,0.0394,,,,,
6.041,3.69412,294.144,0.0366,0.0454,,,,,
6.062,3.95551,294.159,0.045,0.00991,,,,,
6.083,3.88631,293.994,0.049,0.0116,,,,,
6.104,3.74643,293.797,0.0476,0.000655,,,,,
6.124,3.97613,293.634,0.0507,0.0134,,,,,
6.145,2.22098,293.652,0.0885,0.0184,,,,,
6.249,4.99721,295.568,0.124233,-0.0287,,,,,
6.27,3.53014,293.546,0.136775,0.0164,,,,,
6.291,3.26724,292.763,0.0714,0.0186,,,,,
6.312,2.31864,293.144,0.0852,0.0221,,,,,
6.333,1.97267,293.202,0.0954,-0.0346,,,,,
6.354,0.899326,293.337,0.101497,0.0406,,,,,
6.374,-0.742169,293.481,0.121979,-0.0318,,,,,
6.395,-4.23066,293.894,0.146516,-0.0488,,,,,
6.416,-5.25516,294.328,0.164393,0.018,,,,,
6.437,-5.18298,294.355,0.151512,0.0134,,,,,
6.458,-6.7262,294.671,0.1827,-0.0701,,,,,
6.479,-9.87073,295.401,0.269402,-0.101281,,,,,
6.499,-11.9847,295.784,0.3457,-0.181664,,,,,
6.52,-12.1143,295.579,0.3662,0.0054,,,,,
6.541,-11.475,295.285,0.320414,0.0527,,,,,
6.562,-10.1527,295.619,0.3038,-0.151434,,,,,
6.583,-12.6027,295.809,0.37663,-0.0906,,,,,
6.604,-12.5696,296.01,0.402187,-0.0771,,,,,
6.624,-10.902,296.019,0.368622,-0.0586,,,,,
6.645,-10.0782,296.027,0.335465,0.11352,,,,,
6.666,-9.51158,296.165,0.340223,-0.121994,,,,,
6.687,-8.16756,296.252,0.322928,0.0154,,,,,
6.708,-7.83331,296.186,0.281468,0.106623,,,,,
6.729,-6.29453,295.878,0.230452,-0.00185,,,,,
6.749,-6.45127,295.836,0.194449,0.00214,,,,,
6.77,-4.4952,295.786,0.163867,-0.0146,,,,,
6.812,0.240224,295.141,0.0778,0.138697,,,,,
6.833,0.706316,294.974,0.0514,0.126193,,,,,
6.854,1.77439,294.897,0.0462,0.0528,,,,,
6.874,2.47076,294.755,0.0334,0.032,,,,,
6.895,2.36712,294.695,0.0271,-0.0152,,,,,
6.916,2.38332,294.633,0.021,0.0311,,,,,
6.937,2.61043,294.605,0.0225,-0.0109,,,,,
6.958,2.34356,294.552,0.0186,-0.0047,,,,,
6.979,2.46536,294.416,0.0124,-0.01,,,,,
7.0,2.22127,294.448,0.0135,-0.0153,,,,,
7.02,2.66173,293.963,0.00116,0.107146,,,,,
7.041,2.60174,293.695,-0.00136,-0.00587,,,,,
7.062,1.98584,293.964,0.00143,0.00881,,,,,
7.083,0.961157,293.496,-0.00148,-0.0271,,,,,
7.104,-4.21563,292.311,0.00122,-0.00107,,,,,
7.124,1.0159,292.418,-0.000485,0.065,,,,,
7.145,1.87618,291.98,-0.00158,-0.0111,,,,,
7.166,1.33214,291.133,-0.00423,-0.00476,,,,,
7.187,-0.503684,290.234,-0.00345,0.00797,,,,,
7.249,6.7767,289.013,-0.00641,-0.0418,,,,,
7.27,-5.44466,289.189,0.00237,-0.021,,,,,
7.291,9.16427,291.675,-0.00191,0.023,,,,,
7.312,-0.0534,294.191,0.0288,0.0329,,,,,
7.333,-2.54807,295.267,0.0819,0.0911,,,,,
7.354,-4.59248,295.551,0.104533,0.00864,,,,,
7.374,-5.50125,296.071,0.124281,-0.029,,,,,
7.395,-6.9584,297.16,0.206391,0.0425,,,,,
7.416,-7.26028,297.93,0.228748,0.0102,,,,,
7.437,-8.68187,298.462,0.289121,0.0563,,,,,
7.458,-8.50468,299.184,0.347938,-0.0991,,,,,
7.479,-7.76147,299.879,0.429079,-0.0391,,,,,
7.499,-5.16199,300.167,0.376189,-0.06,,,,,
7.52,-3.95578,300.645,0.438462,-0.00588,,,,,
7.541,-4.08517,300.356,0.418133,0.124077,,,,,
7.562,-3.66163,300.76,0.360816,-2.51e-05,,,,,
7.583,-3.83607,299.964,0.348015,-0.0336,,,,,
7.604,-4.3733,299.964,0.33699,0.00541,,,,,
7.624,-5.07678,300.317,0.389936,-0.0749,,,,,
7.645,-6.71935,300.916,0.513325,-0.161971,,,,,
7.666,-5.52163,300.824,0.459014,0.0607,,,,,
7.687,-5.98313,300.719,0.452832,-0.0286,,,,,
7.708,-4.66606,300.138,0.369252,0.0551,,,,,
7.729,-4.34783,299.882,0.320031,-0.0767,,,,,
7.749,-3.83427,299.87,0.266561,0.035,,,,,
7.77,-3.23733,299.617,0.211939,-0.059,,,,,
7.791,-2.15038,299.671,0.169594,-0.0179,,,,,
7.812,-0.524086,299.984,0.123488,0.000723,,,,,
7.833,-0.554779,299.747,0.11371,-0.0189,,,,,
7.854,1.43162,299.034,0.0752,0.0275,,,,,
7.874,2.71805,298.226,0.0385,-0.0484,,,,,
7.895,3.28123,297.492,0.0276,0.0303,,,,,
7.916,3.25321,296.745,0.0204,0.0851,,,,,
7.937,3.1338,296.17,0.0116,-0.0295,,,,,
7.958,2.93806,295.61,0.00952,0.0654,,,,,
7.979,2.09245,295.198,0.00477,-0.0302,,,,,
8.0,2.48764,294.986,0.00395,0.121473,,,,,
8.02,3.5333,294.539,0.00334,-0.0484,,,,,
8.041,3.17557,294.275,0.00826,-0.0605,,,,,
8.062,2.99364,293.956,0.00774,0.0098,,,,,
8.083,2.96263,293.695,0.00815,-0.031,,,,,
8.104,3.63302,293.768,0.00939,0.0128,,,,,
8.124,3.53087,293.828,0.0116,-0.0139,,,,,
8.145,2.51243,293.599,0.00846,-0.0655,,,,,
8.166,3.02187,293.509,0.00633,0.00961,,,,,
8.187,3.09586,293.634,0.00902,0.0896,,,,,
8.208,3.37531,293.597,0.0115,-0.0503,,,,,
8.229,4.6164,293.719,0.0156,0.0252,,,,,
8.249,4.52654,293.673,0.0169,0.0315,,,,,
8.27,3.85148,293.464,0.0135,0.0207,,,,,
8.291,2.28745,293.917,0.018,0.0582,,,,,
8.312,0.179462,294.707,0.0313,-0.0381,,,,,
8.333,-0.952996,295.618,0.056,0.0629,,,,,
8.354,-2.12332,296.569,0.0694,-0.0762,,,,,
8.374,-3.84702,297.401,0.0985,-0.0881,,,,,
8.395,-5.47696,297.993,0.127666,0.105298,,,,,
8.416,-7.73706,298.534,0.156598,-0.017,,,,,
8.458,-8.55857,299.696,0.291461,0.00109,,,,,
8.479,-7.39844,300.601,0.355957,-0.0995,,,,,
8.499,-7.60283,300.629,0.402331,0.067,,,,,
8.52,-7.7775,301.034,0.438812,0.0719,,,,,
8.541,-8.51053,301.573,0.530818,-0.036,,,,,
8.562,-8.05805,301.652,0.463188,0.0798,,,,,
8.583,-9.22298,301.993,0.547824,0.0384,,,,,
8.604,-8.78264,302.19,0.540006,0.0126,,,,,
8.624,-13.5756,301.856,0.535733,-0.0296,,,,,
8.645,-14.2682,301.44,0.461163,-0.352154,,,,,
8.666,-14.5292,300.877,0.471429,0.139927,,,,,
8.687,-13.2398,300.483,0.421016,-0.0356,,,,,
8.708,-12.5373,300.438,0.377651,-0.0328,,,,,
8.729,-8.25627,300.34,0.298394,0.0221,,,,,
8.749,-8.15617,300.22,0.229432,-0.0319,,,,,
8.77,-6.49394,299.795,0.207715,0.119271,,,,,
8.812,-4.03891,299.332,0.101715,-0.122972,,,,,
8.833,-2.97721,298.854,0.0599,-0.171464,,,,,
8.854,-1.62532,298.735,0.0255,-0.0847,,,,,
8.874,2.98566,298.611,0.0102,0.0436,,,,,
8.895,2.17654,298.594,0.00248,-0.0116,,,,,
8.916,2.62588,298.522,0.00917,0.0141,,,,,
8.937,2.70495,298.328,0.00749,0.0182,,,,,
8.958,2.15203,297.681,0.000542,-0.0225,,,,,
8.979,2.92996,296.066,-0.00274,-0.0842,,,,,
9.0,1.82906,294.338,-0.00232,-0.017,,,,,
9.02,4.16454,293.41,-0.00147,0.123744,,,,,
9.041,3.91147,292.465,-0.00147,0.0111,,,,,
9.312,0.884139,293.89,-0.000782,0.0328,,,,,
9.333,-0.512461,295.459,0.0115,-0.0847,,,,,
9.354,-1.80499,296.104,0.0115,0.634544,,,,,
9.374,-4.56962,297.158,0.0266,-0.175218,,,,,
9.416,-8.90538,298.743,0.0865,0.0342,,,,,
9.458,-11.0354,300.021,0.216213,-0.0689,,,,,
9.479,-10.807,299.855,0.317536,-0.0126,,,,,
9.499,-13.1432,300.375,0.410521,0.0504,,,,,
9.52,-9.77724,301.528,0.4355,-0.0241,,,,,
9.541,-8.34321,302.29,0.497954,-0.16022,,,,,
9.562,-10.0297,301.436,0.399234,0.0677,,,,,
9.583,-9.73161,301.857,0.477208,-0.243681,,,,,
9.604,-7.21832,302.255,0.416933,-0.104766,,,,,
9.624,-6.97362,302.442,0.428896,0.226691,,,,,
9.645,-8.304,302.504,0.456033,-0.00325,,,,,
9.666,-7.30725,302.774,0.387736,-0.0128,,,,,
9.687,-7.074,302.728,0.368494,0.0465,,,,,
9.708,-5.99282,302.686,0.343095,-0.113993,,,,,
9.729,-5.97072,301.72,0.28343,0.113153,,,,,
9.749,-6.34458,301.274,0.235529,0.0276,,,,,
9.77,-3.75955,300.939,0.164054,-0.0231,,,,,
9.791,-4.29251,300.563,0.132669,0.0152,,,,,
9.812,-2.99256,299.992,0.0683,0.0192,,,,,
9.833,-1.10746,299.517,0.0288,-0.0847,,,,,
9.854,1.8168,299.446,0.00272,0.00212,,,,,
9.874,3.69834,299.239,-0.00269,0.0318,,,,,
9.895,3.19007,299.073,-0.00675,0.0272,,,,,
9.916,3.131,298.898,-0.00202,-0.0292,,,,,
9.937,3.61853,298.686,-0.00608,-0.044,,,,,
9.958,3.02927,298.475,-0.00615,-0.0161,,,,,
9.979,2.6156,298.236,-0.00657,0.0181,,,,,
10.0,2.80057,297.917,-0.00621,0.0394,,,,,
10.02,2.29139,297.718,-0.00313,-0.0272,,,,,
10.041,4.20216,297.499,-0.00902,-0.0467,,,,,
10.291,4.53064,294.806,0.000317,-0.0137,,,,,
10.312,1.94733,294.683,-0.00194,-0.0345,,,,,
10.333,-0.533158,296.689,0.0158,0.200505,,,,,
10.354,-6.3887,297.748,0.0713,0.206028,,,,,
10.374,-3.70486,298.348,0.0704,-0.0507,,,,,
10.395,-4.58662,298.371,0.145821,0.0786,,,,,
10.416,-9.25876,298.182,0.17481,0.0784,,,,,
10.479,-9.7411,300.146,0.311211,0.1149,,,,,
10.499,-7.04741,301.296,0.402413,0.2091,,,,,
10.52,-7.68918,301.987,0.537337,0.0652,,,,,
10.541,-4.04015,302.431,0.402519,0.00826,,,,,
10.562,-4.0244,303.045,0.46626,-0.177726,,,,,
10.583,-3.66054,303.828,0.466732,-0.014,,,,,
10.604,-3.46784,304.581,0.471637,0.0989,,,,,
10.624,-4.62793,303.963,0.430534,0.0611,,,,,
10.645,-8.46053,303.161,0.440204,-0.0125,,,,,
10.666,-6.71662,303.104,0.398137,0.0396,,,,,
10.687,-4.78088,303.103,0.343096,-0.0175,,,,,
10.708,-4.6487,302.936,0.310626,-0.0417,,,,,
10.729,-5.01599,302.694,0.286361,-0.0767,,,,,
10.749,-4.36536,302.814,0.198816,0.0715,,,,,
10.77,-3.63939,302.541,0.151114,0.0678,,,,,
10.791,-3.58416,302.054,0.114294,-0.0301,,,,,
10.812,-1.46646,302.118,0.0749,0.142377,,,,,
10.833,-2.64023,302.053,0.081,0.0634,,,,,
10.854,0.460755,301.488,0.0244,0.00316,,,,,
10.874,2.75489,301.884,6.06e-05,-0.0132,,,,,
10.895,3.03416,301.336,-0.00226,0.0478,,,,,
10.916,1.76585,300.971,-0.00255,-0.172944,,,,,
10.937,12.5927,299.786,0.000364,0.142709,,,,,
10.958,1.04235,298.288,-0.00447,-0.0921,,,,,
10.979,12.6578,298.045,-0.00931,0.119482,,,,,
11.0,4.8643,299.471,-0.00851,-0.0202,,,,,
11.02,7.00819,298.365,-0.00149,-0.018,,,,,
11.041,14.6995,297.147,-0.0232,0.00245,,,,,
11.083,6.12483,297.018,-0.00241,0.00367,,,,,
11.104,5.56166,297.229,-0.000909,-0.00916,,,,,
11.125,3.62031,298.335,-0.00116,-0.00204,,,,,
11.145,2.16017,297.862,-0.00861,-0.00218,,,,,
11.187,1.97935,296.545,-0.00896,-0.00171,,,,,
11.312,1.14097,298.6,0.00347,0.103672,,,,,
11.333,-0.648251,299.963,0.0162,-0.00818,,,,,
11.354,-2.52591,302.365,0.0467,0.00583,,,,,
11.374,-1.46323,304.256,0.120476,0.00473,,,,,
11.395,-2.84575,304.202,0.159925,0.00242,,,,,
11.416,-2.81183,306.39,0.170109,-0.0601,,,,,
11.437,-0.498322,309.789,0.217619,0.00755,,,,,
11.458,-1.34045,309.785,0.231975,0.0306,,,,,
11.479,-1.68001,309.898,0.284217,-0.487033,,,,,
11.499,-1.45515,309.839,0.295837,-0.035,,,,,
11.52,-0.651244,311.675,0.358309,0.00879,,,,,
11.541,0.160119,311.868,0.362292,0.0744,,,,,
11.562,0.129622,312.078,0.341702,-0.0645,,,,,
11.583,0.0292,312.227,0.389423,0.014,,,,,
11.604,-0.313302,311.758,0.284661,-0.024,,,,,
11.624,-0.588098,312.1,0.316618,-0.0708,,,,,
11.645,-0.683273,312.526,0.291109,-0.00426,,,,,
11.666,0.481282,311.84,0.194193,-0.0337,,,,,
11.687,-0.189978,312.626,0.177266,0.00839,,,,,
11.708,0.350032,313.875,0.189314,0.0481,,,,,
11.729,-0.0668,313.636,0.282036,-0.344247,,,,,
11.749,0.677256,312.388,0.291597,0.0695,,,,,
11.77,1.58787,311.661,0.0798,-0.0103,,,,,
11.791,1.35171,311.073,0.0869,-0.0708,,,,,
11.812,1.83324,310.102,0.0588,-0.247638,,,,,
11.833,1.02332,310.294,0.0588,0.217991,,,,,
11.854,1.45902,310.516,0.0452,0.0209,,,,,
11.874,0.856756,308.246,0.0197,-0.182594,,,,,
11.895,1.40074,306.888,0.021,0.0453,,,,,
11.916,4.31272,304.66,0.0702,0.0331,,,,,
11.937,1.49161,301.384,0.052,0.04,,,,,
11.958,2.46436,300.886,0.0209,-0.101563,,,,,
11.979,1.44984,300.895,0.063,-0.124759,,,,,
12.02,3.1191,300.627,0.00765,0.00261,,,,,
12.041,2.65008,300.532,0.00647,0.0173,,,,,
12.062,2.33959,299.708,0.00391,-0.0453,,,,,
12.083,1.62127,300.064,0.0208,0.153271,,,,,
12.104,3.6183,300.224,0.0377,-0.23553,,,,,
12.125,4.35085,299.783,0.0264,-0.0314,,,,,
12.145,3.99933,299.481,0.0214,0.444775,,,,,
12.166,4.25555,299.27,0.0261,0.126493,,,,,
12.187,4.0762,298.973,0.0325,0.265016,,,,,
12.208,3.81419,298.794,0.0242,0.112884,,,,,
12.229,5.39698,298.543,0.0374,-0.216613,,,,,
12.25,5.4785,298.255,0.0402,0.303507,,,,,
12.27,4.41725,297.779,0.0548,0.163278,,,,,
12.291,3.48233,297.624,0.0485,0.00293,,,,,
21.479,-11.8961,298.586,0.219409,-0.0237,,,,,
21.499,-13.1022,299.22,0.267286,-0.253719,,,,,
21.52,-6.68685,301.12,0.354725,0.568796,,,,,
21.541,-4.23539,302.131,0.288873,-0.220244,,,,,
21.562,-4.47971,302.966,0.338571,0.0329,,,,,
21.583,-4.24953,303.478,0.313408,-0.13653,,,,,
21.604,-2.37922,304.465,0.329262,-0.270343,,,,,
21.624,-3.52433,304.665,0.328733,0.175979,,,,,
21.645,-5.03916,304.545,0.344277,-0.0903,,,,,
21.666,-5.73902,304.781,0.344363,0.114574,,,,,
21.687,-4.05043,304.871,0.282009,-0.13901,,,,,
21.708,-4.91395,303.956,0.257021,0.0758,,,,,
21.729,-3.50163,303.001,0.137804,-0.104653,,,,,
21.749,-3.9548,302.626,0.117425,-0.00116,,,,,
21.77,-5.48397,301.723,0.0836,-0.108484,,,,,
21.791,-2.84265,301.612,0.0467,-0.15248,,,,,
21.812,-3.2437,301.573,0.0398,-0.0115,,,,,
21.833,-0.0533,301.566,0.00529,0.00383,,,,,
21.854,1.46689,301.497,-0.00483,0.321171,,,,,
21.874,1.03037,300.59,-0.00313,0.0139,,,,,
21.895,1.76761,299.675,-0.00261,-0.0202,,,,,
21.916,2.76799,299.983,-0.00676,-0.0193,,,,,
21.937,-1.21674,297.494,0.00347,0.00541,,,,,
22.145,1.60626,292.959,-0.00947,-0.00489,,,,,
22.354,-4.59367,298.695,0.0268,-0.0172,,,,,
22.374,-9.78067,299.066,0.0312,0.0298,,,,,
22.395,-11.5,299.137,0.0253,0.0885,,,,,
22.687,-12.6665,300.37,0.0406,-0.207715,,,,,
22.729,-13.6217,299.686,0.0771,-0.0409,,,,,
22.749,-11.6358,299.355,0.0125,-0.0557,,,,,
22.77,-10.122,299.022,0.0107,-0.0209,,,,,
22.791,-7.27294,298.667,-0.0147,-0.0181,,,,,
22.812,-4.62902,298.428,-0.0122,0.0148,,,,,
22.833,0.541666,297.987,-0.00226,-0.0181,,,,,
22.854,0.784751,297.724,-0.0137,-0.0111,,,,,
22.874,3.45334,297.55,-0.00279,0.0191,,,,,
22.895,2.27806,297.394,-0.00277,0.0137,,,,,
22.916,1.73343,297.409,-0.00592,0.288871,,,,,
22.937,2.12235,297.348,-0.0164,0.0149,,,,,
22.958,4.66156,296.925,-0.00184,0.0335,,,,,
22.979,4.46145,296.713,0.00231,-0.00985,,,,,
23.02,2.37289,296.522,0.00558,-0.0576,,,,,
23.187,1.92247,296.809,0.00262,0.113364,,,,,
23.208,2.33649,296.716,0.00528,0.0156,,,,,
23.229,3.42979,296.697,0.00415,0.0151,,,,,
23.25,0.257026,295.973,0.0039,0.00212,,,,,
23.27,2.97457,295.33,-0.000388,0.0317,,,,,
23.291,2.95677,295.689,0.000699,0.0155,,,,,
23.312,2.121,296.142,0.00017,0.016,,,,,
23.333,1.58345,296.627,0.000963,0.00921,,,,,
23.354,-1.38359,296.829,0.00639,-0.0229,,,,,
23.374,-6.22379,296.999,0.00592,0.0112,,,,,
23.395,-7.01513,297.182,0.0195,0.226338,,,,,
23.416,-14.8303,297.7,0.0265,0.0132,,,,,
23.437,-14.1924,297.758,0.0141,-0.037,,,,,
23.458,-13.6938,298.456,0.0272,0.375709,,,,,
23.499,-13.5872,298.776,0.142546,-0.0209,,,,,
23.52,-13.2056,299.208,0.148652,0.0282,,,,,
23.541,-10.245,299.311,0.238065,-0.0125,,,,,
23.562,-6.75193,299.417,0.234389,0.0836,,,,,
23.583,-6.78978,299.812,0.250587,0.00523,,,,,
23.604,-7.21572,300.379,0.269646,-0.0675,,,,,
23.624,-5.98491,301.244,0.250896,0.279876,,,,,
23.645,-7.0317,301.887,0.2909,0.0391,,,,,
23.666,-6.72225,301.162,0.200455,0.0232,,,,,
23.687,-5.29697,300.927,0.179101,0.0401,,,,,
23.708,-4.87195,300.77,0.157326,-0.131749,,,,,
23.729,-5.08256,300.577,0.126794,-0.125653,,,,,
23.749,-7.07615,300.343,0.133736,-0.126304,,,,,
23.77,-5.64242,299.711,0.087,0.0123,,,,,
23.791,-3.09594,298.973,0.0434,-0.106949,,,,,
23.812,-2.14991,298.959,0.0185,-0.00197,,,,,
23.833,-0.349731,298.991,0.00385,0.439372,,,,,
23.854,2.34874,298.753,-0.00627,-0.12898,,,,,
23.874,2.35124,298.84,-0.00967,0.143052,,,,,
23.895,3.07593,298.739,-0.0107,0.0364,,,,,
23.916,2.26249,298.613,-0.00696,-0.00327,,,,,
23.937,2.31282,298.226,-0.00389,-0.0444,,,,,
23.958,2.48836,297.887,-0.00439,-0.0923,,,,,
24.229,2.34785,289.274,0.00921,0.00515,,,,,
24.333,-1.91099,295.115,-0.0712,-0.00332,,,,,
24.395,-1.55852,301.368,0.082,-0.0307,,,,,
24.416,-2.4445,299.735,0.119127,-0.131138,,,,,
24.437,-1.51621,301.029,0.115141,-0.0473,,,,,
24.458,-5.18039,300.687,0.150731,0.0647,,,,,
24.479,-6.92761,301.069,0.188505,0.0167,,,,,
24.499,-3.97007,301.453,0.130959,-0.0637,,,,,
24.52,-4.79264,303.046,0.19974,-0.00956,,,,,
24.541,-3.66388,303.787,0.187984,-0.0264,,,,,
24.562,-2.79439,305.361,0.236597,0.0261,,,,,
24.583,-2.68502,305.803,0.207531,0.00939,,,,,
24.604,-2.31311,307.794,0.342235,0.0638,,,,,
24.624,-0.896042,307.192,0.282394,0.0585,,,,,
24.645,-0.853363,308.319,0.270451,0.0363,,,,,
24.666,-1.56653,309.8,0.276757,-0.0078,,,,,
24.687,-0.665782,309.796,0.143301,0.0275,,,,,
24.708,-0.0863,311.116,0.287487,0.00574,,,,,
24.729,0.221265,311.712,0.272717,-0.00605,,,,,
24.749,0.304307,312.666,0.252846,-0.00739,,,,,
24.77,2.04783,314.663,0.187581,-0.0575,,,,,
24.791,1.80408,314.304,0.145877,-0.149625,,,,,
24.812,1.99764,313.511,0.124432,0.0022,,,,,
24.833,1.06275,312.075,0.0523,-0.031,,,,,
24.854,0.336372,309.537,0.0107,-0.113974,,,,,
24.874,2.1533,307.176,0.00542,-0.166181,,,,,
24.895,0.744627,305.114,0.00507,0.0653,,,,,
24.916,1.52824,305.12,0.0122,0.0563,,,,,
24.937,2.18746,305.653,0.0109,-0.0196,,,,,
24.958,2.24981,306.308,0.014,-0.0711,,,,,
24.979,1.84259,306.146,0.0109,0.00878,,,,,
25.0,1.8302,306.396,0.0155,-0.035,,,,,
25.02,1.64026,305.592,0.0114,0.125674,,,,,
25.041,1.37302,304.21,0.00654,0.0407,,,,,
25.062,2.40961,303.148,0.00816,-0.23363,,,,,
25.083,1.68665,302.617,0.00388,-0.0127,,,,,
25.104,1.7198,302.265,0.0055,0.122089,,,,,
25.125,1.52611,302.252,0.0107,-0.170448,,,,,
25.145,1.40945,302.895,0.0175,-0.264573,,,,,
25.166,1.16331,302.717,0.0137,0.0381,,,,,
25.187,1.29437,303.563,0.0204,0.206518,,,,,
25.208,1.59028,304.101,0.0318,0.06,,,,,
25.229,3.23281,302.549,0.0259,0.375389,,,,,
25.27,2.53062,302.965,0.0225,-0.106805,,,,,
42.02,1.4095,296.162,-0.000327,-0.00987,,,,,
42.041,4.50707,295.618,-0.00488,0.0252,,,,,
42.062,-0.422187,294.79,-0.000139,0.00109,,,,,
